项目编号,项目名称,首席申请机构,批准资金
ITP/009/08TP,"低温快速蒸发针织衣物的崭新处理技术","香港纺织及成衣研发中心",HK$ 2,417,952
ITP/014/09TP,"用於纺织生產处理过程的创新能源管理系统","香港纺织及成衣研发中心",HK$ 4,406,581
ITP/023/11AI,"双通道 2-50千瓦电动汽车快速充电站","先进能源及智慧交通中心",HK$ 2,004,100
ITP/001/12NP,"用於纳米电子器件製造的激光在刚性基板上直写石墨烯功能图形技术的研究","纳米及先进材料研发院有限公司",HK$ 1,791,700
ITP/002/12NP,"用於高性能鋰电池的掺杂鈦酸鋰(LTO)纳米材料","纳米及先进材料研发院有限公司",HK$ 1,849,200
ITP/006/12AP,"增强型微混合动力总成系统的开发","先进能源及智慧交通中心",HK$ 2,699,795
ITP/013/12NP,"二氧化鈦浆料搀混功能性金属氧化物或高分子於染料敏化太阳能电池的开发","纳米及先进材料研发院有限公司",HK$ 706,502
ITP/014/12NP,"新型的低成本薄膜太阳能电池吸收材料的开发","纳米及先进材料研发院有限公司",HK$ 1,989,953
ITP/025/12AP,"电动汽车混合能量储存系统","先进能源及智慧交通中心",HK$ 1,873,000
ITP/030/12NP,"用於鋰电池阳极的含硅纳米复合材料浆料","纳米及先进材料研发院有限公司",HK$ 1,996,860
ITP/031/12NP,"针对高电压鋰离子电池应用的电解质体系开发","纳米及先进材料研发院有限公司",HK$ 1,990,880
ITP/033/12NP,"高性能磷酸镁水泥基燃料电池双极板的研发","纳米及先进材料研发院有限公司",HK$ 3,004,720
ITP/044/12NI,"高效能多结硅基薄膜太阳能电池的研究","纳米及先进材料研发院有限公司",HK$ 14,488,106
ITP/017/13AI,"开发配备轻量化车身及高效能驱动马达系统的纯电动智能环保巴士","先进能源及智慧交通中心",HK$ 17,835,490
ITP/037/13AP,"电动车电池组的主动均衡系统","先进能源及智慧交通中心",HK$ 2,684,000
ITP/039/13NP,"开发低成本和新颖的导电性聚合物作為可溶性材料及其在有机光伏电池和印刷电子中的应用研究","纳米及先进材料研发院有限公司",HK$ 1,989,034
ITP/012/14NP,"开发低成本的新型富勒烯衍生物受体用於提升有机太阳能电池的效率","纳米及先进材料研发院有限公司",HK$ 2,722,280
ITP/016/14NP,"应用于移动电子设备的可印刷柔性锂电池","纳米及先进材料研发院有限公司",HK$ 2,725,725
